Date,Cases,Deaths
03/10/20,2,0
03/11/20,3,0
03/12/20,5,0
03/13/20,9,0
03/14/20,11,0
03/15/20,14,0
03/16/20,19,0
03/17/20,28,0
03/18/20,39,0
03/19/20,59,1
03/20/20,74,1
03/21/20,95,1
03/22/20,131,2
03/23/20,155,4
03/24/20,169,5
03/25/20,247,6
03/26/20,303,7
03/27/20,367,7
03/28/20,439,9
03/29/20,488,10
03/30/20,549,11
03/31/20,631,13
04/01/20,731,15
04/02/20,831,17
04/03/20,921,17
04/04/20,1015,18
04/05/20,1112,18
04/06/20,1155,18
04/07/20,1261,19
04/08/20,1324,20
04/09/20,1432,22
04/10/20,1537,25
04/11/20,1644,27
04/12/20,1723,31
04/13/20,1788,32
04/14/20,1877,42
04/15/20,1986,43
04/16/20,2066,50
04/17/20,2190,55
04/18/20,2324,60
04/19/20,2428,60
04/20/20,2512,60
